titulo,url,descricao,data_publicacao,img,fonte,positivo,negativo,neutro
Agenda do dia: Caged; IGP-M de março; Relatório da Dívida Pública,https://valor.globo.com/financas/noticia/2024/03/27/agenda-do-dia-caged-igp-m-de-marco-relatorio-da-divida-publica.ghtml,        Confira o que você precisa saber e acompanhar nest...  ,2024-03-27 10:55:46+00:00,https://s2-valor.glbimg.com/vyrdReMDey9coJzjWp3uzWaH3Es=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/z/O/zFHDnmRAK9CfvissJj9w/carteira-de-trabalho-digital-mcamgo-abr-240620211818-2.jpg,Valor,0.061308533,0.12714171,0.8115497
O ‘PL Dani Cunha’: novo texto para a Lei de Falências ameaça garantias e mercado de crédito,https://braziljournal.com/tag/risco-politico/,,,,Brazil Journal,0.061308533,0.12714171,0.8115497
IBGE discute a produção de informações para transformar a realidade dos países do G20,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39565-ibge-discute-a-producao-de-informacoes-para-transformar-a-realidade-dos-paises-do-g20.html,"Casa de Cultura Laura Alvim, Embaixada do G-20, sediou o Encontro de Marcio Pochmann com  correspondentes estrangeiros - Foto: Márcio Costa/Agência IBGE Notícias Em encontro com jornalistas estrangeiros que produzem notícias sobre o Brasil, realizado na...",2024-03-26 16:10:00,,IBGE,0.061308533,0.12714171,0.8115497
"IGP-M tem deflação de 0,47% em março, puxada por preços ao produtor, diz FGV",https://www.infomoney.com.br/economia/igp-m-tem-deflacao-de-047-em-marco-puxada-por-precos-ao-produtor-diz-fgv/,"A deflação em fevereiro foi mais intensa que a esperada pelo consenso LSEG de analistas, que previa queda de -0,22%; queda no acumulado no ano chega a -0,91% e, em 12 meses, está em -4,26%
The post <a href=""https://www.infomoney.com.br/economia/igp-m-tem-deflacao-de-047-em-marco-puxada-por-precos-ao-produtor-diz-fgv/"">IGP-M tem deflação de 0,47% em março, puxada por preços ao produtor, diz FGV</a> appeared first on <a href=""https://www.infomoney.com.br"">InfoMoney</a>.
",2024-03-27 11:05:53+00:00,https://www.infomoney.com.br/wp-content/uploads/2019/06/vale-mina-gongo-soco.jpg?fit=300%2C225&amp;quality=70&amp;strip=all,InfoMoney,0.061308533,0.12714171,0.8115497
"Bradespar tem lucro líquido de R$ 524 milhões no 4º tri, queda de 30%",https://valor.globo.com/empresas/noticia/2024/03/27/bradespar-tem-lucro-liquido-de-r-524-milhoes-no-4o-tri-queda-de-30percent.ghtml,"        Resultado operacional da empresa, que detém partic...  ",2024-03-27 10:51:29+00:00,https://s2-valor.glbimg.com/OnErTsLKu_p36KluXMqFhXFhjHQ=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/L/h/8NSgPJThGicNcSeJJ8YA/calculator-2620140-1280.jpg,Valor,0.89985144,0.060722403,0.039426174
McDonuts? Parceria com McDonald’s valoriza Krispy Kreme em 40%,https://braziljournal.com/tag/varejo-e-consumo/,,,,Brazil Journal,0.89985144,0.060722403,0.039426174
"IPCA-15 é de 0,36% em março",http://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/39552-ipca-15-e-de-0-36-em-marco.html,"O Índice Nacional de Preços ao Consumidor Amplo 15 (IPCA-15) foi de 0,36% em março e ficou 0,42 ponto percentual (p.p.) abaixo da taxa de fevereiro (0,78%). Período Taxa Março de 2024 0,36% Fevereiro de 2024 0,78% Março de 2023 0,69% Acumulado do ano...",2024-03-26 09:00:00,,IBGE,0.89985144,0.060722403,0.039426174
"Ibovespa Ao Vivo: Confira o que movimenta Bolsa, Dólar e Juros nesta quarta",https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-28032024/,"IGP-M, Haddad, Caged e mais assuntos que vão movimentar o mercado hoje
The post <a href=""https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-28032024/"">Ibovespa Ao Vivo: Confira o que movimenta Bolsa, Dólar e Juros nesta quarta</a> appeared first on <a href=""https://www.infomoney.com.br"">InfoMoney</a>.
",2024-03-27 11:00:00+00:00,https://www.infomoney.com.br/wp-content/uploads/2022/07/estavel5.jpg?fit=300%2C169&amp;quality=70&amp;strip=all,InfoMoney,0.89985144,0.060722403,0.039426174
"Japão tentará novamente desenvolver avião comercial, de olho no hidrogênio",https://valor.globo.com/mundo/noticia/2024/03/27/japo-tentar-novamente-desenvolver-avio-comercial-de-olho-no-hidrognio.ghtml,        Setores público e privado investirão juntos cerca...  ,2024-03-27 10:38:40+00:00,https://s2-valor.glbimg.com/Yy-qfyfL3nSBz5ksMQOYWfEmShI=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/Y/b/iTZV6TTdAqCkqi9jEwtQ/a16ftv10-6.jpg,Valor,0.2036208,0.06685109,0.72952807
Visa e Mastercard pagam US$ 30 bi para encerrar briga com varejo. Vai ser suficiente?,https://braziljournal.com/tag/servicos-financeiros/,,,,Brazil Journal,0.2036208,0.06685109,0.72952807
