titulo,url,descricao,data_publicacao,img,fonte,positivo,negativo,neutro
Fitch reitera notas de crédito da InterCement em ‘C’,https://valor.globo.com/empresas/noticia/2024/03/20/fitch-reitera-notas-de-crdito-da-intercement-em-c.ghtml,"        Classificação, apontam agência de rating, reflete...  ",2024-03-20 19:18:44+00:00,https://s2-valor.glbimg.com/T8tbCOGJBZsmhkhWyYi-zxFRwP0=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/t/3/dRpOA2TEa4qpXM3NsD6Q/intercement-brasil-div.jpg,Valor,0.7838582,0.06950169,0.14664015
Controlador da Blau sonha com a Nasdaq. “Mercado brasileiro é curtoprazista”,https://braziljournal.com/tag/farmaceuticas/,,,,Brazil Journal,0.7838582,0.06950169,0.14664015
"IBGE promove segundo Diálogos Externos nesta quarta, 20, na UFSC",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39513-ibge-promove-segundo-dialogos-externos-nesta-quarta-20-na-ufsc.html,"O reitor da Universidade Federal de Santa Catarina, Irineu Manoel de Souza, e a vice-reitora, Joana Célia Passos, receberão nesta quarta-feira, 20, o Superintendente do IBGE em Santa Catarina, Roberto Kern Gomes, para o segundo Diálogos Externos IBGE 90...",2024-03-20 13:06:43,,IBGE,0.7838582,0.06950169,0.14664015
Petróleo realiza lucros e recua após ter alcançado as máximas em quatro meses,https://valor.globo.com/financas/noticia/2024/03/20/petroleo-realiza-lucros-e-recua-apos-ter-alcancado-as-maximas-em-quatro-meses.ghtml,        O barril do petróleo Brent para maio fechou em que...  ,2024-03-20 19:15:03+00:00,https://s2-valor.glbimg.com/2LuSbgchcXZlk5iNUETXlK1_zQY=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2021/P/A/UwBJlnSSenWXaeoYWAIA/oil-rig-2205542-1920.jpg,Valor,0.106355906,0.8367008,0.056943297
"Fed não precisa ter pressa para cortar, diz BlackRock",https://braziljournal.com/tag/eua/,,,,Brazil Journal,0.106355906,0.8367008,0.056943297
"Empresas industriais de médio e grande porte investiram R$ 36,9 bilhões em P&D em 2022",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39503-empresas-industriais-de-medio-e-grande-porte-investiram-r-36-9-bilhoes-em-p-d-em-2022.html,"Setor de máquinas e equipamentos lidera o ranking das empresas inovadoras - Foto: Freepik Em 2022, as empresas industriais inovadoras com 100 ou mais pessoas ocupadas investiram R$ 36,9 bilhões em atividades internas de P&amp;D. As empresas inovadoras da...",2024-03-20 10:00:00,,IBGE,0.106355906,0.8367008,0.056943297
"Tucanos declaram apoio à reeleição de Ricardo Nunes, mas presidente do PSDB-SP resiste",https://valor.globo.com/politica/noticia/2024/03/20/tucanos-declaram-apoio-a-reeleicao-de-ricardo-nunes-mas-presidente-do-psdb-sp-resiste.ghtml,"        Sem consenso, partido segue sem posicionamento def...  ",2024-03-20 19:13:29+00:00,https://s2-valor.glbimg.com/w-ufPo966D5ue8Y4XkwVYuftCVs=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2023/N/Q/ljgzEcQ1C5E6PFMcxobg/290323-20ricardo-20nunes-20009.jpg,Valor,0.060981475,0.21661817,0.72240037
"Previ chega a 5% da Vibra, mas diz que não quer influir",https://braziljournal.com/tag/gestores/,,,,Brazil Journal,0.060981475,0.21661817,0.72240037
IBGE realiza oficina para terceira turma do curso “Políticas públicas na era digital: Dominando os dados do IBGE”,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39508-ibge-realiza-oficina-para-terceira-turma-do-curso-politicas-publicas-na-era-digital-dominando-os-dados-do-ibge.html,"O IBGE apresentou nesta segunda-feira, 18, a terceira turma da oficina com o tema “Políticas públicas na era digital: Dominando os dados do IBGE”, com transmissão virtual, por meio do Webex, para mais de 200 participantes. O curso é voltado para gestores...",2024-03-19 17:35:00,,IBGE,0.060981475,0.21661817,0.72240037
A globalização tributária. Razão comercialmente válida e propósito negocial,https://valor.globo.com/legislacao/fio-da-meada/post/2024/03/a-globalizacao-tributaria-razao-comercialmente-valida-e-proposito-negocial.ghtml,        Embora a discussão possa parecer exclusiva de preç...  ,2024-03-20 19:04:56+00:00,https://s2-valor.glbimg.com/JSf-N7BEQsBQAlEW2FZ-br_59r4=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2022/7/U/jQ7KkGScOHq3UbsBNJ0A/porto-de-barcelona-marcia-almeida-valor.jpg,Valor,0.10456968,0.096118346,0.79931194
Ação do Mercantil sobe 150% mesmo com ROE “insustentável”; entenda,https://braziljournal.com/tag/servicos-financeiros/,,,,Brazil Journal,0.10456968,0.096118346,0.79931194
Está disponível a Agenda IBGE da semana de 18 a 24 de março,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39494-esta-disponivel-a-agenda-ibge-da-semana-de-18-a-24-de-marco.html,"Agenda IBGE traz a programação do instituto para a semana - Foto: Bel Corção/Brasil com S Divulgada hoje (18), a Agenda IBGE traz as programações do IBGE para os dias 18 a 24 de março. A edição disponibilizada contempla as reuniões internas e externas,...",2024-03-18 09:00:00,,IBGE,0.10456968,0.096118346,0.79931194
Disputa entre Receita e PGFN por transação tributária volta ao Congresso em projeto do devedor contumaz,https://valor.globo.com/politica/noticia/2024/03/20/disputa-entre-receita-e-pgfn-por-transao-tributria-volta-ao-congresso-em-projeto-do-devedor-contumaz.ghtml,"        O relator, deputado Ricardo Ayres, propôs que os a...  ",2024-03-20 19:04:26+00:00,https://s2-valor.glbimg.com/qFNR12CaxKJf6E2CRu6H-bft2Nw=/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2024/W/D/GAOG3WTAWnWiJpJZQfsA/img20240228165946968.jpg,Valor,0.035174467,0.821688,0.14313757
Porto Asset celebra dez anos do fundo DI CP,https://braziljournal.com/brands/porto-asset-celebra-dez-anos-do-fundo-di-cp/,,2024-03-18 19:24:32.777738,,Brazil Journal,0.035174467,0.821688,0.14313757
IBGE realiza oitava divulgação do Censo nesta semana em Florianópolis (SC) ,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/39490-ibge-realiza-oitava-divulgacao-do-censo-nesta-semana-em-florianopolis-sc.html,"Foto: Ricardo Wolffenbttel/SECOM-SC O IBGE divulgará, em 21 de março, às 10h, no Auditório da Associação dos Municípios da Grande Florianópolis (GRANFPOLIS), em Florianópolis (SC), os resultados do Censo Demográfico 2022: Agregados por Setores...",2024-03-15 15:30:00,,IBGE,0.035174467,0.821688,0.14313757
